Run,Sigma,Rho,Adapt_Start,Adapt_stop,Length_run,Seed,ID
1,0.01,0.1,5000,50000,1000000,1,1
2,0.1,0.1,5000,50000,1000000,1,2
3,0.2,0.1,5000,50000,1000000,1,3
4,0.3,0.1,5000,50000,1000000,1,4
5,0.4,0.1,5000,50000,1000000,1,5
6,0.5,0.1,5000,50000,1000000,1,6
7,0.6,0.1,5000,50000,1000000,1,7
8,0.7,0.1,5000,50000,1000000,1,8
9,0.8,0.1,5000,50000,1000000,1,9
10,0.9,0.1,5000,50000,1000000,1,10
11,0.99,0.1,5000,50000,1000000,1,11
12,0.01,0.05,5000,50000,1000000,1,12
13,0.1,0.05,5000,50000,1000000,1,13
14,0.2,0.05,5000,50000,1000000,1,14
15,0.3,0.05,5000,50000,1000000,1,15
16,0.4,0.05,5000,50000,1000000,1,16
17,0.5,0.05,5000,50000,1000000,1,17
18,0.6,0.05,5000,50000,1000000,1,18
19,0.7,0.05,5000,50000,1000000,1,19
20,0.8,0.05,5000,50000,1000000,1,20
21,0.9,0.05,5000,50000,1000000,1,21
22,0.99,0.05,5000,50000,1000000,1,22
23,0.01,0.5,5000,50000,1000000,1,23
24,0.1,0.5,5000,50000,1000000,1,24
25,0.2,0.5,5000,50000,1000000,1,25
26,0.3,0.5,5000,50000,1000000,1,26
27,0.4,0.5,5000,50000,1000000,1,27
28,0.5,0.5,5000,50000,1000000,1,28
29,0.6,0.5,5000,50000,1000000,1,29
30,0.7,0.5,5000,50000,1000000,1,30
31,0.8,0.5,5000,50000,1000000,1,31
32,0.9,0.5,5000,50000,1000000,1,32
33,0.99,0.5,5000,50000,1000000,1,33
34,0.01,0.2,5000,50000,1000000,1,34
35,0.1,0.2,5000,50000,1000000,1,35
36,0.2,0.2,5000,50000,1000000,1,36
37,0.3,0.2,5000,50000,1000000,1,37
38,0.4,0.2,5000,50000,1000000,1,38
39,0.5,0.2,5000,50000,1000000,1,39
40,0.6,0.2,5000,50000,1000000,1,40
41,0.7,0.2,5000,50000,1000000,1,41
42,0.8,0.2,5000,50000,1000000,1,42
43,0.9,0.2,5000,50000,1000000,1,43
44,0.99,0.2,5000,50000,1000000,1,44
45,0.01,0.025,5000,50000,1000000,1,45
46,0.1,0.025,5000,50000,1000000,1,46
47,0.2,0.025,5000,50000,1000000,1,47
48,0.3,0.025,5000,50000,1000000,1,48
49,0.4,0.025,5000,50000,1000000,1,49
50,0.5,0.025,5000,50000,1000000,1,50
51,0.6,0.025,5000,50000,1000000,1,51
52,0.7,0.025,5000,50000,1000000,1,52
53,0.8,0.025,5000,50000,1000000,1,53
54,0.9,0.025,5000,50000,1000000,1,54
55,0.99,0.025,5000,50000,1000000,1,55
1,0.01,0.1,5000,50000,1000000,2,56
2,0.1,0.1,5000,50000,1000000,2,57
3,0.2,0.1,5000,50000,1000000,2,58
4,0.3,0.1,5000,50000,1000000,2,59
5,0.4,0.1,5000,50000,1000000,2,60
6,0.5,0.1,5000,50000,1000000,2,61
7,0.6,0.1,5000,50000,1000000,2,62
8,0.7,0.1,5000,50000,1000000,2,63
9,0.8,0.1,5000,50000,1000000,2,64
10,0.9,0.1,5000,50000,1000000,2,65
11,0.99,0.1,5000,50000,1000000,2,66
12,0.01,0.05,5000,50000,1000000,2,67
13,0.1,0.05,5000,50000,1000000,2,68
14,0.2,0.05,5000,50000,1000000,2,69
15,0.3,0.05,5000,50000,1000000,2,70
16,0.4,0.05,5000,50000,1000000,2,71
17,0.5,0.05,5000,50000,1000000,2,72
18,0.6,0.05,5000,50000,1000000,2,73
19,0.7,0.05,5000,50000,1000000,2,74
20,0.8,0.05,5000,50000,1000000,2,75
21,0.9,0.05,5000,50000,1000000,2,76
22,0.99,0.05,5000,50000,1000000,2,77
23,0.01,0.5,5000,50000,1000000,2,78
24,0.1,0.5,5000,50000,1000000,2,79
25,0.2,0.5,5000,50000,1000000,2,80
26,0.3,0.5,5000,50000,1000000,2,81
27,0.4,0.5,5000,50000,1000000,2,82
28,0.5,0.5,5000,50000,1000000,2,83
29,0.6,0.5,5000,50000,1000000,2,84
30,0.7,0.5,5000,50000,1000000,2,85
31,0.8,0.5,5000,50000,1000000,2,86
32,0.9,0.5,5000,50000,1000000,2,87
33,0.99,0.5,5000,50000,1000000,2,88
34,0.01,0.2,5000,50000,1000000,2,89
35,0.1,0.2,5000,50000,1000000,2,90
36,0.2,0.2,5000,50000,1000000,2,91
37,0.3,0.2,5000,50000,1000000,2,92
38,0.4,0.2,5000,50000,1000000,2,93
39,0.5,0.2,5000,50000,1000000,2,94
40,0.6,0.2,5000,50000,1000000,2,95
41,0.7,0.2,5000,50000,1000000,2,96
42,0.8,0.2,5000,50000,1000000,2,97
43,0.9,0.2,5000,50000,1000000,2,98
44,0.99,0.2,5000,50000,1000000,2,99
45,0.01,0.025,5000,50000,1000000,2,100
46,0.1,0.025,5000,50000,1000000,2,101
47,0.2,0.025,5000,50000,1000000,2,102
48,0.3,0.025,5000,50000,1000000,2,103
49,0.4,0.025,5000,50000,1000000,2,104
50,0.5,0.025,5000,50000,1000000,2,105
51,0.6,0.025,5000,50000,1000000,2,106
52,0.7,0.025,5000,50000,1000000,2,107
53,0.8,0.025,5000,50000,1000000,2,108
54,0.9,0.025,5000,50000,1000000,2,109
55,0.99,0.025,5000,50000,1000000,2,110
1,0.01,0.1,5000,50000,1000000,3,111
2,0.1,0.1,5000,50000,1000000,3,112
3,0.2,0.1,5000,50000,1000000,3,113
4,0.3,0.1,5000,50000,1000000,3,114
5,0.4,0.1,5000,50000,1000000,3,115
6,0.5,0.1,5000,50000,1000000,3,116
7,0.6,0.1,5000,50000,1000000,3,117
8,0.7,0.1,5000,50000,1000000,3,118
9,0.8,0.1,5000,50000,1000000,3,119
10,0.9,0.1,5000,50000,1000000,3,120
11,0.99,0.1,5000,50000,1000000,3,121
12,0.01,0.05,5000,50000,1000000,3,122
13,0.1,0.05,5000,50000,1000000,3,123
14,0.2,0.05,5000,50000,1000000,3,124
15,0.3,0.05,5000,50000,1000000,3,125
16,0.4,0.05,5000,50000,1000000,3,126
17,0.5,0.05,5000,50000,1000000,3,127
18,0.6,0.05,5000,50000,1000000,3,128
19,0.7,0.05,5000,50000,1000000,3,129
20,0.8,0.05,5000,50000,1000000,3,130
21,0.9,0.05,5000,50000,1000000,3,131
22,0.99,0.05,5000,50000,1000000,3,132
23,0.01,0.5,5000,50000,1000000,3,133
24,0.1,0.5,5000,50000,1000000,3,134
25,0.2,0.5,5000,50000,1000000,3,135
26,0.3,0.5,5000,50000,1000000,3,136
27,0.4,0.5,5000,50000,1000000,3,137
28,0.5,0.5,5000,50000,1000000,3,138
29,0.6,0.5,5000,50000,1000000,3,139
30,0.7,0.5,5000,50000,1000000,3,140
31,0.8,0.5,5000,50000,1000000,3,141
32,0.9,0.5,5000,50000,1000000,3,142
33,0.99,0.5,5000,50000,1000000,3,143
34,0.01,0.2,5000,50000,1000000,3,144
35,0.1,0.2,5000,50000,1000000,3,145
36,0.2,0.2,5000,50000,1000000,3,146
37,0.3,0.2,5000,50000,1000000,3,147
38,0.4,0.2,5000,50000,1000000,3,148
39,0.5,0.2,5000,50000,1000000,3,149
40,0.6,0.2,5000,50000,1000000,3,150
41,0.7,0.2,5000,50000,1000000,3,151
42,0.8,0.2,5000,50000,1000000,3,152
43,0.9,0.2,5000,50000,1000000,3,153
44,0.99,0.2,5000,50000,1000000,3,154
45,0.01,0.025,5000,50000,1000000,3,155
46,0.1,0.025,5000,50000,1000000,3,156
47,0.2,0.025,5000,50000,1000000,3,157
48,0.3,0.025,5000,50000,1000000,3,158
49,0.4,0.025,5000,50000,1000000,3,159
